enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
A clear sky and a gentle breeze,0,-3,27,35,22,84,2024-11-17,0,Precipitation is not expected,1012,2,35,01:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,19,12,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and a gentle breeze,0,-3,27,30,19,84,2024-11-17,0,Precipitation is not expected,1012,1,35,02:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,17,11,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and a gentle breeze,0,-3,27,27,17,85,2024-11-17,0,Precipitation is not expected,1012,1,34,03:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,16,10,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and a gentle breeze,0,-3,27,24,15,86,2024-11-17,0,Precipitation is not expected,1013,1,34,04:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,14,9,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and a gentle breeze,0,-3,27,22,14,87,2024-11-17,0,Precipitation is not expected,1013,1,33,05:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,13,8,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and light winds,0,-3,26,21,13,88,2024-11-17,0,Precipitation is not expected,1013,1,33,06:00,1,Good,0,Clear Sky,Light winds from the west,W,W,Westerly,12,7,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Partly cloudy and light winds,2,-1,30,19,12,89,2024-11-17,0,Precipitation is not expected,1013,2,36,07:00,1,Good,2,Partly Cloudy,Light winds from the west,W,W,Westerly,11,7,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Sunny intervals and light winds,3,-1,31,20,12,89,2024-11-17,0,Precipitation is not expected,1013,2,36,08:00,1,Good,3,Sunny Intervals,Light winds from the west,W,W,Westerly,10,6,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Sunny intervals and light winds,3,0,32,21,13,88,2024-11-17,0,Precipitation is not expected,1014,3,37,09:00,1,Good,3,Sunny Intervals,Light winds from the west,W,W,Westerly,10,6,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Sunny intervals and light winds,3,1,34,22,14,82,2024-11-17,0,Precipitation is not expected,1014,4,39,10:00,1,Good,3,Sunny Intervals,Light winds from the west,W,W,Westerly,10,6,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Light cloud and light winds,7,2,36,23,15,77,2024-11-17,0,Precipitation is not expected,1014,5,40,11:00,1,Good,7,Light Cloud,Light winds from the west,W,W,Westerly,11,7,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Light cloud and a gentle breeze,7,3,37,22,14,73,2024-11-17,0,Precipitation is not expected,1013,5,41,12:00,1,Good,7,Light Cloud,A gentle breeze from the west,W,W,Westerly,12,8,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Light cloud and a gentle breeze,7,3,37,21,13,72,2024-11-17,0,Precipitation is not expected,1013,5,41,13:00,1,Good,7,Light Cloud,A gentle breeze from the west,W,W,Westerly,13,8,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Light cloud and light winds,7,3,37,20,13,70,2024-11-17,0,Precipitation is not expected,1012,5,42,14:00,1,Good,7,Light Cloud,Light winds from the west,W,W,Westerly,12,7,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Light cloud and light winds,7,3,37,18,11,70,2024-11-17,0,Precipitation is not expected,1012,5,41,15:00,1,Good,7,Light Cloud,Light winds from the west,W,W,Westerly,11,7,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Sunny intervals and light winds,3,2,35,16,10,74,2024-11-17,0,Precipitation is not expected,1012,4,39,16:00,1,Good,3,Sunny Intervals,Light winds from the west,W,W,Westerly,10,6,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Partly cloudy and light winds,2,1,34,15,9,78,2024-11-17,0,Precipitation is not expected,1012,3,38,17:00,1,Good,2,Partly Cloudy,Light winds from the west,W,W,Westerly,10,6,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Partly cloudy and light winds,2,-4,24,15,9,90,2024-11-17,0,Precipitation is not expected,1012,-1,30,18:00,1,Good,2,Partly Cloudy,Light winds from the west,W,W,Westerly,9,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Partly cloudy and light winds,2,-5,23,14,9,90,2024-11-17,0,Precipitation is not expected,1012,-2,29,19:00,1,Good,2,Partly Cloudy,Light winds from the west,W,W,Westerly,9,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Partly cloudy and light winds,2,-5,23,13,8,92,2024-11-17,0,Precipitation is not expected,1012,-2,28,20:00,1,Good,2,Partly Cloudy,Light winds from the west,W,W,Westerly,8,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
Partly cloudy and light winds,2,-2,28,14,9,93,2024-11-17,0,Precipitation is not expected,1013,-2,28,21:00,1,Good,2,Partly Cloudy,Light winds from the west,W,W,Westerly,7,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and light winds,0,-6,22,14,9,93,2024-11-17,0,Precipitation is not expected,1013,-3,27,22:00,1,Good,0,Clear Sky,Light winds from the west,W,W,Westerly,8,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and light winds,0,-6,21,16,10,94,2024-11-17,0,Precipitation is not expected,1013,-3,27,23:00,1,Good,0,Clear Sky,Light winds from the west,W,W,Westerly,8,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and light winds,0,-6,20,14,9,94,2024-11-18,0,Precipitation is not expected,1013,-3,26,00:00,1,Good,0,Clear Sky,Light winds from the west,W,W,Westerly,8,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and light winds,0,-7,19,15,9,93,2024-11-18,0,Precipitation is not expected,1013,-3,26,01:00,1,Good,0,Clear Sky,Light winds from the west,W,W,Westerly,9,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and light winds,0,-7,19,16,10,92,2024-11-18,0,Precipitation is not expected,1013,-4,25,02:00,1,Good,0,Clear Sky,Light winds from the west,W,W,Westerly,9,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
A clear sky and light winds,0,-7,19,15,9,91,2024-11-18,0,Precipitation is not expected,1013,-4,25,03:00,1,Good,0,Clear Sky,Light winds from the west,W,W,Westerly,8,5,2024-11-16T21:45:00+00:00,2024-11-17T00:00:58.621Z,2650225,Edinburgh
