enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Light rain showers and a gentle breeze,9,7,45,27,17,89,2022-09-29,47,Chance of precipitation,1001,9,48,03:00,1,Good,9,Light Rain Showers,A gentle breeze from the west north west,WNW,WNW,West North Westerly,14,9,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
Light rain showers and a gentle breeze,9,8,46,28,17,90,2022-09-29,61,Chance of precipitation,1001,9,49,04:00,1,Good,9,Light Rain Showers,A gentle breeze from the west north west,WNW,WNW,West North Westerly,15,9,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
Light rain showers and a gentle breeze,9,8,47,29,18,92,2022-09-29,55,Chance of precipitation,1001,9,49,05:00,1,Good,9,Light Rain Showers,A gentle breeze from the north west,NW,NW,North Westerly,15,9,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
Light rain showers and a gentle breeze,9,8,47,30,19,94,2022-09-29,36,Chance of precipitation,1001,10,49,06:00,1,Good,9,Light Rain Showers,A gentle breeze from the north west,NW,NW,North Westerly,16,10,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
Light cloud and a gentle breeze,36,9,47,30,19,95,2022-09-29,24,Low chance of precipitation,1002,10,50,07:00,1,Good,7,Light Cloud,A gentle breeze from the north north west,NNW,NNW,North North Westerly,16,10,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
Light cloud and a gentle breeze,7,9,48,32,20,93,2022-09-29,18,Low chance of precipitation,1002,10,51,08:00,1,Good,7,Light Cloud,A gentle breeze from the north north west,NNW,NNW,North North Westerly,17,11,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
Light cloud and a gentle breeze,7,10,50,34,21,88,2022-09-29,13,Low chance of precipitation,1003,11,52,09:00,1,Good,7,Light Cloud,A gentle breeze from the north,N,N,Northerly,19,12,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
Light cloud and a moderate breeze,7,12,53,35,22,82,2022-09-29,7,Low chance of precipitation,1004,12,54,10:00,1,Good,7,Light Cloud,A moderate breeze from the north,N,N,Northerly,20,13,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
Light cloud and a moderate breeze,7,13,56,37,23,75,2022-09-29,5,Low chance of precipitation,1004,14,57,11:00,1,Good,7,Light Cloud,A moderate breeze from the north north east,NNE,NNE,North North Easterly,21,13,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
Light cloud and a moderate breeze,7,14,57,38,24,69,2022-09-29,5,Low chance of precipitation,1005,15,58,12:00,1,Good,7,Light Cloud,A moderate breeze from the north north east,NNE,NNE,North North Easterly,22,14,2022-09-28T22:04:00+01:00,2022-09-29T02:00:35.392+01:00,2653822,Cardiff
