enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
Partly cloudy and light winds,2,20,68,16,10,75,2022-07-17,2,Low chance of precipitation,1025,18,65,02:00,1,Good,2,Partly Cloudy,Light winds from the south east,SE,SE,South Easterly,7,4,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
Partly cloudy and light winds,2,19,67,18,11,76,2022-07-17,2,Low chance of precipitation,1025,18,64,03:00,1,Good,2,Partly Cloudy,Light winds from the south east,SE,SE,South Easterly,7,5,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
Partly cloudy and light winds,2,19,66,19,12,79,2022-07-17,2,Low chance of precipitation,1025,17,63,04:00,1,Good,2,Partly Cloudy,Light winds from the east south east,ESE,ESE,East South Easterly,9,5,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
Partly cloudy and light winds,2,18,64,20,12,80,2022-07-17,2,Low chance of precipitation,1025,16,61,05:00,1,Good,2,Partly Cloudy,Light winds from the east south east,ESE,ESE,East South Easterly,9,6,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
Sunny and light winds,1,17,63,22,13,81,2022-07-17,1,Low chance of precipitation,1025,16,61,06:00,1,Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,10,6,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
Sunny and light winds,1,19,65,23,14,78,2022-07-17,1,Low chance of precipitation,1025,17,63,07:00,1,Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,11,7,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
Sunny and light winds,1,21,70,25,15,72,2022-07-17,1,Low chance of precipitation,1025,19,66,08:00,1,Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,12,7,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
Sunny and a gentle breeze,1,23,74,27,17,64,2022-07-17,1,Low chance of precipitation,1025,21,70,09:00,1,Good,1,Sunny,A gentle breeze from the east south east,ESE,ESE,East South Easterly,13,8,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
Sunny and a gentle breeze,1,25,78,29,18,57,2022-07-17,1,Low chance of precipitation,1025,23,73,10:00,1,Good,1,Sunny,A gentle breeze from the east south east,ESE,ESE,East South Easterly,15,9,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
Sunny and a gentle breeze,1,27,81,31,19,50,2022-07-17,1,Low chance of precipitation,1025,25,76,11:00,1,Good,1,Sunny,A gentle breeze from the south east,SE,SE,South Easterly,17,10,2022-07-16T22:53:00+01:00,2022-07-17T01:00:02.313+01:00,2653822,Cardiff
