enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Thick cloud and a gentle breeze,37,18,64,24,15,91,2023-01-04,15,Low chance of precipitation,1012,16,61,04:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,12,8,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Thick cloud and a gentle breeze,37,18,64,24,15,91,2023-01-04,11,Low chance of precipitation,1013,16,61,05:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,12,8,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Light cloud and a gentle breeze,36,18,64,23,15,91,2023-01-04,7,Low chance of precipitation,1013,16,61,06:00,1,Good,7,Light Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,13,8,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Light cloud and a gentle breeze,36,17,63,23,14,94,2023-01-04,8,Low chance of precipitation,1013,15,60,07:00,1,Good,7,Light Cloud,A gentle breeze from the south,S,S,Southerly,14,9,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Light cloud and a gentle breeze,7,16,61,27,17,95,2023-01-04,11,Low chance of precipitation,1013,15,59,08:00,1,Good,7,Light Cloud,A gentle breeze from the south,S,S,Southerly,15,9,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Light cloud and a gentle breeze,7,17,63,28,18,91,2023-01-04,7,Low chance of precipitation,1013,16,60,09:00,1,Good,7,Light Cloud,A gentle breeze from the south,S,S,Southerly,15,9,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Light cloud and a gentle breeze,7,18,64,25,15,86,2023-01-04,8,Low chance of precipitation,1013,16,61,10:00,1,Good,7,Light Cloud,A gentle breeze from the south,S,S,Southerly,16,10,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Light cloud and a gentle breeze,7,19,67,23,14,82,2023-01-04,16,Low chance of precipitation,1013,18,64,11:00,1,Good,7,Light Cloud,A gentle breeze from the south,S,S,Southerly,17,10,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Thick cloud and a gentle breeze,8,21,70,25,15,80,2023-01-04,20,Low chance of precipitation,1012,19,65,12:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,17,11,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Thick cloud and a gentle breeze,8,22,71,27,17,80,2023-01-04,22,Low chance of precipitation,1011,19,66,13:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,18,11,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Thick cloud and a gentle breeze,8,22,71,29,18,81,2023-01-04,23,Low chance of precipitation,1010,19,66,14:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,18,11,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
Light rain showers and a gentle breeze,10,21,70,30,19,86,2023-01-04,41,Chance of precipitation,1010,18,65,15:00,1,Good,10,Light Rain Showers,A gentle breeze from the south,S,S,Southerly,18,11,2023-01-04T02:49:00-05:00,2023-01-04T03:09:54.614-05:00,4140963,Washington DC
