enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Sunny intervals and light winds,3,12,53,14,9,90,2024-02-15,0,Precipitation is not expected,1001,12,53,17:00,1,Good,3,Sunny Intervals,Light winds from the west south west,WSW,WSW,West South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Partly cloudy and light winds,2,9,49,14,9,93,2024-02-15,0,Precipitation is not expected,1001,10,49,18:00,1,Moderate,2,Partly Cloudy,Light winds from the south west,SW,SW,South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Partly cloudy and light winds,2,9,47,16,10,93,2024-02-15,0,Precipitation is not expected,1002,9,47,19:00,1,Moderate,2,Partly Cloudy,Light winds from the south west,SW,SW,South Westerly,7,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Partly cloudy and light winds,2,8,47,18,11,92,2024-02-15,0,Precipitation is not expected,1002,8,47,20:00,1,Good,2,Partly Cloudy,Light winds from the south west,SW,SW,South Westerly,7,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Partly cloudy and light winds,2,7,44,17,10,93,2024-02-15,0,Precipitation is not expected,1003,8,46,21:00,1,Good,2,Partly Cloudy,Light winds from the south west,SW,SW,South Westerly,9,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Partly cloudy and light winds,2,6,43,17,10,94,2024-02-15,0,Precipitation is not expected,1003,7,45,22:00,1,Moderate,2,Partly Cloudy,Light winds from the south west,SW,SW,South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Partly cloudy and light winds,2,5,42,17,11,93,2024-02-15,0,Precipitation is not expected,1004,7,44,23:00,1,Moderate,2,Partly Cloudy,Light winds from the south west,SW,SW,South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Partly cloudy and light winds,2,6,43,17,11,94,2024-02-16,0,Precipitation is not expected,1004,7,45,00:00,1,Moderate,2,Partly Cloudy,Light winds from the south west,SW,SW,South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,36,7,44,17,11,94,2024-02-16,0,Precipitation is not expected,1004,8,46,01:00,1,Moderate,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,9,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,36,7,45,18,11,95,2024-02-16,24,Low chance of precipitation,1005,8,46,02:00,1,Moderate,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,36,7,45,18,11,94,2024-02-16,18,Low chance of precipitation,1005,8,47,03:00,1,Moderate,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,9,6,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,36,7,45,18,11,95,2024-02-16,23,Low chance of precipitation,1005,8,47,04:00,1,Moderate,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light rain and light winds,39,7,45,17,11,94,2024-02-16,26,Low chance of precipitation,1006,8,47,05:00,1,Moderate,12,Light Rain,Light winds from the south west,SW,SW,South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Drizzle and light winds,38,8,47,17,10,95,2024-02-16,44,Chance of precipitation,1006,8,47,06:00,1,Moderate,11,Drizzle,Light winds from the south west,SW,SW,South Westerly,7,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,36,7,45,15,9,96,2024-02-16,24,Low chance of precipitation,1007,8,47,07:00,1,Moderate,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,7,9,47,15,9,95,2024-02-16,0,Precipitation is not expected,1008,9,47,08:00,1,Moderate,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,6,4,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,7,9,48,15,9,96,2024-02-16,0,Precipitation is not expected,1009,9,47,09:00,1,Moderate,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,6,4,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,7,9,49,16,10,94,2024-02-16,0,Precipitation is not expected,1011,9,49,10:00,1,Moderate,7,Light Cloud,Light winds from the west south west,WSW,WSW,West South Westerly,7,4,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,7,10,50,18,11,91,2024-02-16,0,Precipitation is not expected,1012,10,50,11:00,1,Good,7,Light Cloud,Light winds from the west south west,WSW,WSW,West South Westerly,8,5,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,7,11,51,18,11,88,2024-02-16,0,Precipitation is not expected,1013,11,52,12:00,1,Good,7,Light Cloud,Light winds from the west south west,WSW,WSW,West South Westerly,9,6,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Light cloud and light winds,7,11,52,19,12,86,2024-02-16,7,Low chance of precipitation,1013,11,52,13:00,1,Good,7,Light Cloud,Light winds from the west south west,WSW,WSW,West South Westerly,10,6,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Sunny intervals and light winds,3,12,53,19,12,82,2024-02-16,5,Low chance of precipitation,1014,12,53,14:00,1,Good,3,Sunny Intervals,Light winds from the west,W,W,Westerly,10,6,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Sunny intervals and light winds,3,11,53,16,10,81,2024-02-16,5,Low chance of precipitation,1015,12,53,15:00,1,Good,3,Sunny Intervals,Light winds from the west,W,W,Westerly,10,6,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
Sunny intervals and light winds,3,11,52,14,9,84,2024-02-16,0,Precipitation is not expected,1016,11,53,16:00,1,Good,3,Sunny Intervals,Light winds from the west,W,W,Westerly,9,6,2024-02-15T09:45:00+00:00,2024-02-15T16:02:08.622Z,2655984,Belfast
