enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
A clear sky and a gentle breeze,0,20,68,17,10,93,2023-09-21,0,Precipitation is not expected,1010,17,63,03:00,1,Good,0,Clear Sky,A gentle breeze from the south,S,S,Southerly,19,12,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,20,68,24,15,86,2023-09-21,0,Precipitation is not expected,1011,18,64,04:00,1,Good,0,Clear Sky,A gentle breeze from the south south west,SSW,SSW,South South Westerly,16,10,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,20,68,31,19,72,2023-09-21,0,Precipitation is not expected,1012,18,65,05:00,1,Good,0,Clear Sky,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
Sunny and a moderate breeze,1,19,67,41,25,64,2023-09-21,0,Precipitation is not expected,1013,18,65,06:00,1,Good,1,Sunny,A moderate breeze from the south west,SW,SW,South Westerly,20,13,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
Sunny and a moderate breeze,1,19,67,39,24,56,2023-09-21,0,Precipitation is not expected,1014,19,66,07:00,1,Good,1,Sunny,A moderate breeze from the west south west,WSW,WSW,West South Westerly,27,17,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
Sunny and a moderate breeze,1,18,65,37,23,53,2023-09-21,0,Precipitation is not expected,1015,18,65,08:00,1,Good,1,Sunny,A moderate breeze from the west south west,WSW,WSW,West South Westerly,28,17,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
Sunny and a moderate breeze,1,19,66,37,23,48,2023-09-21,0,Precipitation is not expected,1016,19,66,09:00,1,Good,1,Sunny,A moderate breeze from the west south west,WSW,WSW,West South Westerly,26,16,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
Sunny and a moderate breeze,1,20,67,37,23,40,2023-09-21,0,Precipitation is not expected,1016,20,68,10:00,1,Good,1,Sunny,A moderate breeze from the west south west,WSW,WSW,West South Westerly,25,16,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
Sunny and a moderate breeze,1,20,68,39,24,42,2023-09-21,3,Low chance of precipitation,1016,20,68,11:00,1,Good,1,Sunny,A moderate breeze from the south south west,SSW,SSW,South South Westerly,24,15,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
Sunny and a moderate breeze,1,20,68,41,25,51,2023-09-21,4,Low chance of precipitation,1016,20,67,12:00,1,Good,1,Sunny,A moderate breeze from the south,S,S,Southerly,28,17,2023-09-20T19:00:00+10:00,2023-09-21T02:07:52.688+10:00,2147714,Sydney
