enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Thick cloud and a gentle breeze,37,13,55,33,21,90,2022-11-05,22,Low chance of precipitation,1011,13,55,17:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,16,10,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Thick cloud and a gentle breeze,37,13,56,34,21,91,2022-11-05,17,Low chance of precipitation,1011,13,56,18:00,1,Good,8,Thick Cloud,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Light rain and a gentle breeze,39,13,56,34,21,92,2022-11-05,33,Chance of precipitation,1010,13,56,19:00,1,Good,12,Light Rain,A gentle breeze from the south south west,SSW,SSW,South South Westerly,16,10,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Thick cloud and a gentle breeze,37,14,57,34,21,94,2022-11-05,10,Low chance of precipitation,1010,13,56,20:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,16,10,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Light cloud and a gentle breeze,36,14,57,32,20,94,2022-11-05,7,Low chance of precipitation,1010,13,56,21:00,1,Good,7,Light Cloud,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Thick cloud and a gentle breeze,37,14,57,29,18,93,2022-11-05,7,Low chance of precipitation,1010,14,57,22:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,16,10,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Thick cloud and a gentle breeze,37,14,57,28,18,93,2022-11-05,7,Low chance of precipitation,1009,14,57,23:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,14,9,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Thick cloud and a gentle breeze,37,14,58,29,18,92,2022-11-06,10,Low chance of precipitation,1009,14,57,00:00,1,Good,8,Thick Cloud,A gentle breeze from the south south west,SSW,SSW,South South Westerly,14,9,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Light rain and a gentle breeze,39,14,58,31,19,93,2022-11-06,22,Low chance of precipitation,1008,14,57,01:00,1,Good,12,Light Rain,A gentle breeze from the south south west,SSW,SSW,South South Westerly,14,9,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Light rain and a gentle breeze,39,15,58,32,20,93,2022-11-06,40,Chance of precipitation,1008,14,57,02:00,1,Good,12,Light Rain,A gentle breeze from the south south west,SSW,SSW,South South Westerly,15,9,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Thundery showers and a gentle breeze,28,14,58,32,20,94,2022-11-06,60,Chance of precipitation,1007,14,57,03:00,1,Good,28,Thundery Showers,A gentle breeze from the south south west,SSW,SSW,South South Westerly,15,10,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Thundery showers and a gentle breeze,28,14,57,32,20,94,2022-11-06,81,High chance of precipitation,1006,14,57,04:00,1,Good,28,Thundery Showers,A gentle breeze from the south south west,SSW,SSW,South South Westerly,16,10,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
Thundery showers and a gentle breeze,28,14,57,32,20,93,2022-11-06,95,Precipitation is expected,1005,14,57,05:00,1,Good,28,Thundery Showers,A gentle breeze from the south south west,SSW,SSW,South South Westerly,16,10,2022-11-05T09:02:00+00:00,2022-11-05T16:05:33.018Z,2643743,Greater London
