enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
A clear sky and a gentle breeze,0,8,46,18,11,79,2023-10-16,0,Precipitation is not expected,1006,9,49,05:00,1,Good,0,Clear Sky,A gentle breeze from the north west,NW,NW,North Westerly,13,8,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
A clear sky and a gentle breeze,0,7,46,18,11,80,2023-10-16,0,Precipitation is not expected,1006,9,48,06:00,1,Good,0,Clear Sky,A gentle breeze from the north west,NW,NW,North Westerly,13,8,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
A clear sky and a gentle breeze,0,7,45,21,13,80,2023-10-16,0,Precipitation is not expected,1006,9,48,07:00,1,Good,0,Clear Sky,A gentle breeze from the north west,NW,NW,North Westerly,13,8,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
Sunny and a gentle breeze,1,8,46,24,15,79,2023-10-16,0,Precipitation is not expected,1007,9,49,08:00,1,Good,1,Sunny,A gentle breeze from the north west,NW,NW,North Westerly,13,8,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
Sunny and a gentle breeze,1,9,49,24,15,74,2023-10-16,0,Precipitation is not expected,1007,11,51,09:00,1,Good,1,Sunny,A gentle breeze from the north west,NW,NW,North Westerly,16,10,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
Sunny intervals and a gentle breeze,3,11,52,24,15,69,2023-10-16,0,Precipitation is not expected,1007,12,54,10:00,1,Good,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,17,10,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
Sunny intervals and a gentle breeze,3,13,55,24,15,63,2023-10-16,0,Precipitation is not expected,1007,13,56,11:00,1,Good,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,16,10,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
Sunny intervals and a gentle breeze,3,13,56,24,15,60,2023-10-16,7,Low chance of precipitation,1007,14,58,12:00,1,Good,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,16,10,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
Light cloud and a gentle breeze,7,14,57,26,16,58,2023-10-16,0,Precipitation is not expected,1007,15,59,13:00,1,Good,7,Light Cloud,A gentle breeze from the north west,NW,NW,North Westerly,16,10,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
Light cloud and a gentle breeze,7,14,58,26,16,58,2023-10-16,11,Low chance of precipitation,1006,15,59,14:00,1,Good,7,Light Cloud,A gentle breeze from the north west,NW,NW,North Westerly,17,11,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
Light cloud and a gentle breeze,7,15,58,28,17,58,2023-10-16,14,Low chance of precipitation,1006,15,59,15:00,1,Good,7,Light Cloud,A gentle breeze from the north west,NW,NW,North Westerly,17,11,2023-10-15T17:43:00-04:00,2023-10-16T04:01:57.996-04:00,4140963,Washington DC
