enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Light rain showers and a moderate breeze,9,16,61,46,29,57,2022-11-01,61,Chance of precipitation,996,16,61,20:00,1,Good,9,Light Rain Showers,A moderate breeze from the west north west,WNW,WNW,West North Westerly,28,17,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,15,59,46,29,57,2022-11-01,44,Chance of precipitation,996,16,60,21:00,1,Good,2,Partly Cloudy,A moderate breeze from the north west,NW,NW,North Westerly,27,17,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,15,58,46,29,55,2022-11-01,27,Low chance of precipitation,996,15,60,22:00,1,Good,2,Partly Cloudy,A moderate breeze from the north west,NW,NW,North Westerly,28,17,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,14,57,46,29,54,2022-11-01,13,Low chance of precipitation,996,15,59,23:00,1,Moderate,2,Partly Cloudy,A moderate breeze from the west north west,WNW,WNW,West North Westerly,28,18,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,13,56,47,30,56,2022-11-02,7,Low chance of precipitation,996,15,58,00:00,1,Moderate,2,Partly Cloudy,A moderate breeze from the west north west,WNW,WNW,West North Westerly,28,17,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,13,55,49,30,56,2022-11-02,4,Low chance of precipitation,996,14,58,01:00,1,Moderate,2,Partly Cloudy,A moderate breeze from the west north west,WNW,WNW,West North Westerly,29,18,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,12,54,46,29,56,2022-11-02,4,Low chance of precipitation,997,14,57,02:00,1,Moderate,2,Partly Cloudy,A moderate breeze from the west,W,W,Westerly,30,18,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,11,52,44,27,57,2022-11-02,4,Low chance of precipitation,997,13,55,03:00,1,Moderate,2,Partly Cloudy,A moderate breeze from the west,W,W,Westerly,27,17,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a moderate breeze,0,11,51,43,27,58,2022-11-02,5,Low chance of precipitation,998,12,54,04:00,1,Moderate,0,Clear Sky,A moderate breeze from the west,W,W,Westerly,25,15,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a moderate breeze,0,10,49,43,27,60,2022-11-02,6,Low chance of precipitation,999,12,53,05:00,1,Good,0,Clear Sky,A moderate breeze from the west,W,W,Westerly,24,15,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a moderate breeze,1,9,49,42,26,60,2022-11-02,6,Low chance of precipitation,1000,11,53,06:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,24,15,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a moderate breeze,1,10,51,43,27,56,2022-11-02,4,Low chance of precipitation,1001,12,54,07:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,24,15,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a moderate breeze,1,12,53,45,28,50,2022-11-02,3,Low chance of precipitation,1002,14,57,08:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,26,16,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a moderate breeze,1,13,56,47,29,43,2022-11-02,3,Low chance of precipitation,1003,15,59,09:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,28,17,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a moderate breeze,1,15,59,48,30,37,2022-11-02,2,Low chance of precipitation,1003,17,62,10:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,29,18,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a fresh breeze,1,16,61,48,30,33,2022-11-02,2,Low chance of precipitation,1004,18,64,11:00,1,Good,1,Sunny,A fresh breeze from the west south west,WSW,WSW,West South Westerly,31,19,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a fresh breeze,1,17,63,48,30,31,2022-11-02,3,Low chance of precipitation,1004,19,65,12:00,1,Good,1,Sunny,A fresh breeze from the west south west,WSW,WSW,West South Westerly,32,20,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a fresh breeze,1,17,63,48,30,29,2022-11-02,5,Low chance of precipitation,1005,19,66,13:00,1,Good,1,Sunny,A fresh breeze from the west south west,WSW,WSW,West South Westerly,31,19,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a fresh breeze,1,18,64,48,30,28,2022-11-02,7,Low chance of precipitation,1005,19,67,14:00,1,Good,1,Sunny,A fresh breeze from the west south west,WSW,WSW,West South Westerly,31,19,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a fresh breeze,1,18,64,49,31,28,2022-11-02,8,Low chance of precipitation,1005,19,67,15:00,1,Good,1,Sunny,A fresh breeze from the west south west,WSW,WSW,West South Westerly,32,20,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a fresh breeze,1,17,63,49,30,29,2022-11-02,10,Low chance of precipitation,1006,19,66,16:00,1,Good,1,Sunny,A fresh breeze from the west south west,WSW,WSW,West South Westerly,33,20,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a fresh breeze,1,16,62,47,29,31,2022-11-02,10,Low chance of precipitation,1006,18,65,17:00,1,Good,1,Sunny,A fresh breeze from the west,W,W,Westerly,33,20,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a moderate breeze,1,15,60,44,27,33,2022-11-02,10,Low chance of precipitation,1007,17,63,18:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,30,18,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a moderate breeze,1,15,58,40,25,36,2022-11-02,8,Low chance of precipitation,1009,16,61,19:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,26,16,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a moderate breeze,0,14,57,38,24,39,2022-11-02,6,Low chance of precipitation,1010,15,60,20:00,1,Good,0,Clear Sky,A moderate breeze from the west,W,W,Westerly,24,15,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a moderate breeze,0,13,55,36,23,41,2022-11-02,4,Low chance of precipitation,1011,15,59,21:00,1,Good,0,Clear Sky,A moderate breeze from the west,W,W,Westerly,22,14,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a moderate breeze,0,13,55,34,21,43,2022-11-02,2,Low chance of precipitation,1012,14,58,22:00,1,Moderate,0,Clear Sky,A moderate breeze from the west,W,W,Westerly,22,13,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a moderate breeze,0,12,53,34,21,45,2022-11-02,1,Low chance of precipitation,1012,14,57,23:00,1,Moderate,0,Clear Sky,A moderate breeze from the west,W,W,Westerly,22,14,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a moderate breeze,0,11,52,34,21,48,2022-11-03,0,Precipitation is not expected,1012,13,56,00:00,1,Moderate,0,Clear Sky,A moderate breeze from the west north west,WNW,WNW,West North Westerly,21,13,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a moderate breeze,0,11,51,32,20,52,2022-11-03,0,Precipitation is not expected,1012,13,55,01:00,1,Moderate,0,Clear Sky,A moderate breeze from the west north west,WNW,WNW,West North Westerly,20,13,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a gentle breeze,0,10,50,31,19,55,2022-11-03,0,Precipitation is not expected,1012,12,54,02:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,20,12,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a gentle breeze,0,10,50,30,19,56,2022-11-03,0,Precipitation is not expected,1012,12,53,03:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,19,12,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a gentle breeze,0,10,49,30,19,56,2022-11-03,0,Precipitation is not expected,1012,11,53,04:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,18,11,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
A clear sky and a gentle breeze,0,10,49,30,19,58,2022-11-03,0,Precipitation is not expected,1013,11,53,05:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,18,11,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
Sunny and a gentle breeze,1,10,49,31,19,60,2022-11-03,0,Precipitation is not expected,1013,11,52,06:00,1,Good,1,Sunny,A gentle breeze from the west,W,W,Westerly,18,11,2022-11-01T18:00:00+11:00,2022-11-01T19:03:16.685+11:00,2147714,Sydney
