enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
Partly cloudy and light winds,2,29,83,15,9,90,2022-07-17,35,Chance of precipitation,1016,22,72,03:00,1,Good,2,Partly Cloudy,Light winds from the south south east,SSE,SSE,South South Easterly,8,5,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Partly cloudy and light winds,2,28,83,15,9,89,2022-07-17,20,Low chance of precipitation,1016,22,72,04:00,1,Good,2,Partly Cloudy,Light winds from the south,S,S,Southerly,8,5,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light cloud and light winds,36,28,83,15,9,88,2022-07-17,9,Low chance of precipitation,1015,22,72,05:00,1,Good,7,Light Cloud,Light winds from the south,S,S,Southerly,8,5,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light cloud and light winds,7,28,83,17,11,88,2022-07-17,5,Low chance of precipitation,1016,22,72,06:00,1,Good,7,Light Cloud,Light winds from the south south east,SSE,SSE,South South Easterly,8,5,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light cloud and light winds,7,29,84,19,12,85,2022-07-17,6,Low chance of precipitation,1016,23,73,07:00,1,Good,7,Light Cloud,Light winds from the south south east,SSE,SSE,South South Easterly,8,5,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light cloud and light winds,7,31,87,20,12,81,2022-07-17,7,Low chance of precipitation,1016,24,75,08:00,1,Good,7,Light Cloud,Light winds from the south south east,SSE,SSE,South South Easterly,9,5,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light cloud and light winds,7,32,90,20,12,77,2022-07-17,8,Low chance of precipitation,1016,25,77,09:00,1,Good,7,Light Cloud,Light winds from the south south east,SSE,SSE,South South Easterly,9,6,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light cloud and light winds,7,34,93,19,12,75,2022-07-17,10,Low chance of precipitation,1016,26,79,10:00,1,Good,7,Light Cloud,Light winds from the south south east,SSE,SSE,South South Easterly,10,6,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light cloud and light winds,7,35,95,20,13,73,2022-07-17,11,Low chance of precipitation,1016,27,81,11:00,1,Good,7,Light Cloud,Light winds from the south south east,SSE,SSE,South South Easterly,10,6,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Thick cloud and light winds,8,36,97,22,13,71,2022-07-17,10,Low chance of precipitation,1016,28,82,12:00,1,Good,8,Thick Cloud,Light winds from the south,S,S,Southerly,11,7,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Thick cloud and light winds,8,37,98,23,14,68,2022-07-17,7,Low chance of precipitation,1015,28,83,13:00,1,Good,8,Thick Cloud,Light winds from the south,S,S,Southerly,11,7,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light cloud and light winds,7,37,99,24,15,67,2022-07-17,6,Low chance of precipitation,1015,29,83,14:00,1,Good,7,Light Cloud,Light winds from the south,S,S,Southerly,12,7,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light cloud and a gentle breeze,7,38,100,26,16,66,2022-07-17,7,Low chance of precipitation,1015,29,84,15:00,1,Good,7,Light Cloud,A gentle breeze from the south,S,S,Southerly,12,8,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
Light rain showers and a gentle breeze,10,38,101,27,17,64,2022-07-17,8,Low chance of precipitation,1014,29,85,16:00,1,Good,10,Light Rain Showers,A gentle breeze from the south,S,S,Southerly,13,8,2022-07-16T17:40:00-04:00,2022-07-17T02:04:21.982-04:00,4140963,Washington DC
