enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Sunny and a gentle breeze,1,30,86,23,14,31,2023-07-10,0,Precipitation is not expected,1019,29,83,19:00,1,Good,1,Sunny,A gentle breeze from the south west,SW,SW,South Westerly,13,8,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
Sunny and a gentle breeze,1,30,85,19,12,32,2023-07-10,0,Precipitation is not expected,1019,28,83,20:00,1,Good,1,Sunny,A gentle breeze from the south west,SW,SW,South Westerly,13,8,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
Sunny and light winds,1,28,83,15,9,35,2023-07-10,0,Precipitation is not expected,1019,27,81,21:00,1,Good,1,Sunny,Light winds from the south west,SW,SW,South Westerly,10,6,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
A clear sky and light winds,0,27,80,12,7,40,2023-07-10,0,Precipitation is not expected,1019,25,77,22:00,1,Good,0,Clear Sky,Light winds from the south west,SW,SW,South Westerly,8,5,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
A clear sky and light winds,0,25,78,9,5,46,2023-07-10,0,Precipitation is not expected,1019,24,75,23:00,1,Good,0,Clear Sky,Light winds from the south west,SW,SW,South Westerly,7,4,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
A clear sky and light winds,0,24,76,7,5,50,2023-07-11,0,Precipitation is not expected,1018,23,73,00:00,1,Good,0,Clear Sky,Light winds from the south west,SW,SW,South Westerly,6,4,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
A clear sky and light winds,0,24,75,8,5,54,2023-07-11,0,Precipitation is not expected,1018,22,72,01:00,1,Good,0,Clear Sky,Light winds from the south south west,SSW,SSW,South South Westerly,6,4,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
A clear sky and light winds,0,23,74,9,6,57,2023-07-11,0,Precipitation is not expected,1017,21,71,02:00,1,Good,0,Clear Sky,Light winds from the south south west,SSW,SSW,South South Westerly,6,4,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
A clear sky and light winds,0,22,72,9,6,60,2023-07-11,0,Precipitation is not expected,1017,21,69,03:00,1,Good,0,Clear Sky,Light winds from the south south west,SSW,SSW,South South Westerly,7,4,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
A clear sky and light winds,0,22,71,9,6,63,2023-07-11,0,Precipitation is not expected,1017,20,68,04:00,1,Good,0,Clear Sky,Light winds from the south south west,SSW,SSW,South South Westerly,7,4,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
A clear sky and light winds,0,21,70,9,6,65,2023-07-11,0,Precipitation is not expected,1017,19,67,05:00,1,Good,0,Clear Sky,Light winds from the south south west,SSW,SSW,South South Westerly,6,4,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
Sunny and light winds,1,21,70,9,6,66,2023-07-11,0,Precipitation is not expected,1016,19,67,06:00,1,Good,1,Sunny,Light winds from the south south west,SSW,SSW,South South Westerly,5,3,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
Sunny and light winds,1,22,71,12,7,65,2023-07-11,0,Precipitation is not expected,1016,20,68,07:00,1,Good,1,Sunny,Light winds from the south south west,SSW,SSW,South South Westerly,5,3,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
Sunny and light winds,1,23,74,14,9,61,2023-07-11,0,Precipitation is not expected,1016,21,70,08:00,1,Good,1,Sunny,Light winds from the south south west,SSW,SSW,South South Westerly,5,3,2023-07-10T11:00:00+02:00,2023-07-10T18:01:03.162+02:00,2988507,Paris
