enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Sunny intervals and a moderate breeze,3,21,70,36,22,52,2024-09-17,0,Precipitation is not expected,1029,20,68,14:00,1,Good,3,Sunny Intervals,A moderate breeze from the north east,NE,NE,North Easterly,20,13,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,21,71,37,23,51,2024-09-17,0,Precipitation is not expected,1029,21,69,15:00,1,Good,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,19,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,21,70,37,23,51,2024-09-17,0,Precipitation is not expected,1028,20,69,16:00,1,Good,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,19,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,21,69,38,24,54,2024-09-17,0,Precipitation is not expected,1028,20,68,17:00,1,Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,17,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,20,68,37,23,57,2024-09-17,0,Precipitation is not expected,1028,19,66,18:00,1,Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,17,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,18,65,38,24,63,2024-09-17,0,Precipitation is not expected,1028,18,64,19:00,1,Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,17,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,17,63,39,24,68,2024-09-17,0,Precipitation is not expected,1029,17,62,20:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,17,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,16,61,39,24,73,2024-09-17,0,Precipitation is not expected,1029,16,60,21:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,17,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,15,60,37,23,77,2024-09-17,0,Precipitation is not expected,1029,15,59,22:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,16,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,15,59,36,22,81,2024-09-17,0,Precipitation is not expected,1029,15,59,23:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,16,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,15,59,34,21,85,2024-09-18,0,Precipitation is not expected,1029,15,58,00:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,15,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,15,59,34,21,87,2024-09-18,0,Precipitation is not expected,1029,14,58,01:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,14,58,34,21,89,2024-09-18,0,Precipitation is not expected,1029,14,57,02:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,16,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,15,58,33,21,90,2024-09-18,0,Precipitation is not expected,1029,14,57,03:00,1,Good,2,Partly Cloudy,A gentle breeze from the north north east,NNE,NNE,North North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,15,58,32,20,91,2024-09-18,0,Precipitation is not expected,1028,14,57,04:00,1,Good,2,Partly Cloudy,A gentle breeze from the north north east,NNE,NNE,North North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,14,58,31,19,92,2024-09-18,0,Precipitation is not expected,1028,14,57,05:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,14,58,31,19,93,2024-09-18,0,Precipitation is not expected,1028,14,57,06:00,1,Good,2,Partly Cloudy,A gentle breeze from the north north east,NNE,NNE,North North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,15,58,32,20,93,2024-09-18,0,Precipitation is not expected,1028,14,57,07:00,1,Good,3,Sunny Intervals,A gentle breeze from the north north east,NNE,NNE,North North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,16,61,34,21,89,2024-09-18,0,Precipitation is not expected,1028,15,59,08:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Light cloud and a gentle breeze,7,17,63,35,22,84,2024-09-18,0,Precipitation is not expected,1028,16,61,09:00,1,Good,7,Light Cloud,A gentle breeze from the north east,NE,NE,North Easterly,17,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Light cloud and a gentle breeze,7,20,67,36,22,78,2024-09-18,0,Precipitation is not expected,1028,18,64,10:00,1,Good,7,Light Cloud,A gentle breeze from the north east,NE,NE,North Easterly,18,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,22,71,37,23,70,2024-09-18,0,Precipitation is not expected,1028,20,67,11:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,19,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,24,75,37,23,64,2024-09-18,0,Precipitation is not expected,1027,21,70,12:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,19,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
