issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2024-06-29T15:41:00-04:00,2024-06-29T20:02:22.255-04:00,Thundery showers and a moderate breeze,31,19,2024-06-29,,,,,34,93,25,77,36,97,23,73,,,,,,,,,11,Low chance of precipitation,05:46,20:37,,,,,4,MODERATE,M,Moderate,28,Thundery Showers,A moderate breeze from the south,S,S,Southerly,23,14,4140963,Washington DC
2024-06-29T15:41:00-04:00,2024-06-29T20:02:22.255-04:00,Thundery showers and a gentle breeze,23,14,2024-06-30,,,,,34,93,18,64,36,97,16,61,,,,,,,,,78,High chance of precipitation,05:46,20:37,,,,,6,HIGH,H,High,29,Thundery Showers,A gentle breeze from the south west,SW,SW,South Westerly,17,11,4140963,Washington DC
2024-06-29T15:41:00-04:00,2024-06-29T20:02:22.255-04:00,Sunny and a moderate breeze,37,23,2024-07-01,,,,,27,81,17,62,28,83,15,60,,,,,,,,,0,Precipitation is not expected,05:47,20:37,,,,,8,VERY_HIGH,VH,Very High,1,Sunny,A moderate breeze from the north,N,N,Northerly,23,14,4140963,Washington DC
2024-06-29T15:41:00-04:00,2024-06-29T20:02:22.255-04:00,Sunny and a gentle breeze,17,11,2024-07-02,,,,,30,85,19,65,31,87,17,63,,,,,,,,,0,Precipitation is not expected,05:47,20:37,,,,,8,VERY_HIGH,VH,Very High,1,Sunny,A gentle breeze from the south east,SE,SE,South Easterly,17,10,4140963,Washington DC
2024-06-29T15:41:00-04:00,2024-06-29T20:02:22.255-04:00,Sunny and a moderate breeze,24,15,2024-07-03,,,,,32,90,22,72,34,93,19,67,,,,,,,,,0,Precipitation is not expected,05:48,20:37,,,,,8,VERY_HIGH,VH,Very High,1,Sunny,A moderate breeze from the south,S,S,Southerly,20,13,4140963,Washington DC
2024-06-29T15:41:00-04:00,2024-06-29T20:02:22.255-04:00,Thundery showers and a gentle breeze,22,14,2024-07-04,,,,,36,96,25,76,37,99,23,74,,,,,,,,,31,Chance of precipitation,05:48,20:37,,,,,7,HIGH,H,High,29,Thundery Showers,A gentle breeze from the south west,SW,SW,South Westerly,15,9,4140963,Washington DC
2024-06-29T15:41:00-04:00,2024-06-29T20:02:22.255-04:00,Thundery showers and a gentle breeze,22,14,2024-07-05,,,,,35,95,24,75,37,99,23,73,,,,,,,,,70,Chance of precipitation,05:49,20:36,,,,,6,HIGH,H,High,29,Thundery Showers,A gentle breeze from the south west,SW,SW,South Westerly,13,8,4140963,Washington DC
2024-06-29T15:41:00-04:00,2024-06-29T20:02:22.255-04:00,Thundery showers and a gentle breeze,25,16,2024-07-06,,,,,34,93,23,74,37,99,21,70,,,,,,,,,61,Chance of precipitation,05:50,20:36,,,,,7,HIGH,H,High,29,Thundery Showers,A gentle breeze from the south west,SW,SW,South Westerly,14,9,4140963,Washington DC
2024-06-29T20:02:22-04:00,2024-06-29T20:02:22.255-04:00,Sunny intervals and a gentle breeze,20,12,2024-07-07,,,,,33,92,23,73,36,97,20,69,,,,,,,,,15,Low chance of precipitation,05:50,20:36,,,,,7,HIGH,H,High,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,12,8,4140963,Washington DC
2024-06-29T20:02:22-04:00,2024-06-29T20:02:22.255-04:00,Light rain showers and a gentle breeze,17,11,2024-07-08,,,,,32,90,23,73,35,95,19,67,,,,,,,,,44,Chance of precipitation,05:51,20:36,,,,,4,MODERATE,M,Moderate,10,Light Rain Showers,A gentle breeze from the south,S,S,Southerly,14,9,4140963,Washington DC
