issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2025-02-28T22:41:00+01:00,2025-03-01T09:00:21.477+01:00,Light cloud and a gentle breeze,39,24,2025-03-01,,,,,8,47,1,35,9,49,0,32,,,,,,,,,0,Precipitation is not expected,07:34,18:33,,,,,2,LOW,L,Low,7,Light Cloud,A gentle breeze from the north east,NE,NE,North Easterly,18,11,2988507,Paris
2025-02-28T22:41:00+01:00,2025-03-01T09:00:21.477+01:00,Sunny and a gentle breeze,29,18,2025-03-02,,,,,10,51,0,31,11,53,-2,28,,,,,,,,,0,Precipitation is not expected,07:32,18:35,,,,,4,MODERATE,M,Moderate,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2988507,Paris
2025-02-28T22:41:00+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,16,10,2025-03-03,,,,,11,51,0,32,12,54,-2,28,,,,,,,,,0,Precipitation is not expected,07:30,18:37,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the north east,NE,NE,North Easterly,10,6,2988507,Paris
2025-02-28T22:41:00+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,12,7,2025-03-04,,,,,12,53,0,33,13,55,-2,28,,,,,,,,,0,Precipitation is not expected,07:28,18:38,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the north east,NE,NE,North Easterly,8,5,2988507,Paris
2025-02-28T22:41:00+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,10,6,2025-03-05,,,,,13,55,2,35,14,57,-1,31,,,,,,,,,0,Precipitation is not expected,07:26,18:40,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the south east,SE,SE,South Easterly,6,4,2988507,Paris
2025-02-28T22:41:00+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,20,13,2025-03-06,,,,,15,58,5,41,16,61,4,39,,,,,,,,,0,Precipitation is not expected,07:24,18:41,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the south east,SE,SE,South Easterly,11,7,2988507,Paris
2025-02-28T22:41:00+01:00,2025-03-01T09:00:21.477+01:00,Sunny and a gentle breeze,27,17,2025-03-07,,,,,15,60,7,44,17,62,5,40,,,,,,,,,0,Precipitation is not expected,07:22,18:43,,,,,4,MODERATE,M,Moderate,1,Sunny,A gentle breeze from the south,S,S,Southerly,14,9,2988507,Paris
2025-02-28T22:41:00+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,18,11,2025-03-08,,,,,14,58,6,43,17,62,4,39,,,,,,,,,31,Chance of precipitation,07:20,18:44,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the south,S,S,Southerly,11,7,2988507,Paris
2025-03-01T09:00:21+01:00,2025-03-01T09:00:21.477+01:00,Light rain and light winds,20,12,2025-03-09,,,,,13,55,5,41,15,59,3,37,,,,,,,,,56,Chance of precipitation,07:17,18:46,,,,,3,MODERATE,M,Moderate,12,Light Rain,Light winds from the south east,SE,SE,South Easterly,10,6,2988507,Paris
2025-03-01T09:00:21+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,13,8,2025-03-10,,,,,13,55,5,41,16,60,2,36,,,,,,,,,28,Low chance of precipitation,07:15,18:48,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the north,N,N,Northerly,7,5,2988507,Paris
2025-03-01T09:00:21+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,21,13,2025-03-11,,,,,13,55,5,41,16,61,2,35,,,,,,,,,7,Low chance of precipitation,07:13,18:49,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the north east,NE,NE,North Easterly,8,5,2988507,Paris
2025-03-01T09:00:21+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,15,9,2025-03-12,,,,,13,56,5,41,17,62,1,35,,,,,,,,,0,Precipitation is not expected,07:11,18:51,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the north,N,N,Northerly,6,4,2988507,Paris
2025-03-01T09:00:21+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,9,5,2025-03-13,,,,,14,57,6,42,18,64,2,35,,,,,,,,,13,Low chance of precipitation,07:09,18:52,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the south east,SE,SE,South Easterly,6,4,2988507,Paris
2025-03-01T09:00:21+01:00,2025-03-01T09:00:21.477+01:00,Sunny and light winds,19,12,2025-03-14,,,,,14,57,7,45,18,65,3,37,,,,,,,,,15,Low chance of precipitation,07:07,18:54,,,,,4,MODERATE,M,Moderate,1,Sunny,Light winds from the south east,SE,SE,South Easterly,10,6,2988507,Paris
