issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2024-08-24T10:46:00+01:00,2024-08-24T17:00:15.951+01:00,Sunny intervals and a moderate breeze,51,32,2024-08-24,,,,,18,64,9,48,19,66,8,46,4.0,MODERATE,M,Moderate,3.0,LOW,L,Low,18,Low chance of precipitation,06:14,20:15,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the west,W,W,Westerly,25,16,2653822,Cardiff
2024-08-24T10:46:00+01:00,2024-08-24T17:00:15.951+01:00,Light rain and a fresh breeze,61,38,2024-08-25,,,,,18,65,13,55,19,67,12,54,4.0,MODERATE,M,Moderate,3.0,LOW,L,Low,69,Chance of precipitation,06:15,20:13,,,,,3,MODERATE,M,Moderate,12,Light Rain,A fresh breeze from the south west,SW,SW,South Westerly,30,19,2653822,Cardiff
2024-08-24T10:46:00+01:00,2024-08-24T17:00:15.951+01:00,Sunny intervals and a gentle breeze,34,21,2024-08-26,,,,,20,68,13,55,21,70,12,54,6.0,HIGH,H,High,3.0,LOW,L,Low,42,Chance of precipitation,06:17,20:11,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,18,11,2653822,Cardiff
2024-08-24T10:46:00+01:00,2024-08-24T17:00:15.951+01:00,Sunny intervals and a gentle breeze,34,21,2024-08-27,,,,,22,72,13,56,24,75,12,54,4.0,MODERATE,M,Moderate,3.0,LOW,L,Low,20,Low chance of precipitation,06:18,20:09,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the south,S,S,Southerly,19,12,2653822,Cardiff
2024-08-24T10:46:00+01:00,2024-08-24T17:00:15.951+01:00,Light rain and light winds,16,10,2024-08-28,,,,,23,73,13,56,25,76,12,54,6.0,HIGH,H,High,3.0,LOW,L,Low,37,Chance of precipitation,06:20,20:07,,,,,5,MODERATE,M,Moderate,12,Light Rain,Light winds from the east,E,E,Easterly,9,6,2653822,Cardiff
2024-08-24T10:46:00+01:00,2024-08-24T17:00:15.951+01:00,Drizzle and a gentle breeze,30,19,2024-08-29,,,,,20,69,11,52,22,72,10,49,,,,,,,,,34,Chance of precipitation,06:21,20:04,,,,,5,MODERATE,M,Moderate,11,Drizzle,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2653822,Cardiff
2024-08-24T10:46:00+01:00,2024-08-24T17:00:15.951+01:00,Sunny intervals and a gentle breeze,26,16,2024-08-30,,,,,20,68,9,49,22,71,7,45,,,,,,,,,19,Low chance of precipitation,06:23,20:02,,,,,4,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,14,9,2653822,Cardiff
2024-08-24T10:46:00+01:00,2024-08-24T17:00:15.951+01:00,Sunny and light winds,12,7,2024-08-31,,,,,22,71,11,52,23,74,10,49,,,,,,,,,11,Low chance of precipitation,06:25,20:00,,,,,5,MODERATE,M,Moderate,1,Sunny,Light winds from the south east,SE,SE,South Easterly,5,3,2653822,Cardiff
2024-08-24T17:00:15+01:00,2024-08-24T17:00:15.951+01:00,Sunny and light winds,21,13,2024-09-01,,,,,23,73,12,53,24,76,10,50,,,,,,,,,11,Low chance of precipitation,06:26,19:58,,,,,5,MODERATE,M,Moderate,1,Sunny,Light winds from the east,E,E,Easterly,8,5,2653822,Cardiff
2024-08-24T17:00:15+01:00,2024-08-24T17:00:15.951+01:00,Sunny and light winds,30,19,2024-09-02,,,,,22,71,11,52,24,75,9,48,,,,,,,,,9,Low chance of precipitation,06:28,19:55,,,,,5,MODERATE,M,Moderate,1,Sunny,Light winds from the south,S,S,Southerly,12,7,2653822,Cardiff
2024-08-24T17:00:15+01:00,2024-08-24T17:00:15.951+01:00,Sunny and light winds,22,14,2024-09-03,,,,,22,72,12,53,24,76,9,48,,,,,,,,,20,Low chance of precipitation,06:29,19:53,,,,,5,MODERATE,M,Moderate,1,Sunny,Light winds from the north east,NE,NE,North Easterly,9,6,2653822,Cardiff
