issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2023-01-01T09:12:00+00:00,2023-01-01T16:00:53.271Z,Thick cloud and light winds,18,11,2023-01-01,,,,,4,39,-2,29,5,41,-3,26,,,,,3.0,LOW,L,Low,38,Chance of precipitation,08:44,15:49,,,,,0,LOW,L,Low,8,Thick Cloud,Light winds from the south west,SW,SW,South Westerly,10,6,2650225,Edinburgh
2023-01-01T09:12:00+00:00,2023-01-01T16:00:53.271Z,Sunny intervals and a gentle breeze,23,14,2023-01-02,,,,,2,36,-1,30,3,38,-2,28,,,,,2.0,LOW,L,Low,11,Low chance of precipitation,08:44,15:50,,,,,0,LOW,L,Low,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,13,8,2650225,Edinburgh
2023-01-01T09:12:00+00:00,2023-01-01T16:00:53.271Z,Light rain showers and a gentle breeze,29,18,2023-01-03,,,,,6,43,5,41,8,46,3,38,,,,,2.0,LOW,L,Low,89,High chance of precipitation,08:43,15:52,,,,,0,LOW,L,Low,10,Light Rain Showers,A gentle breeze from the south,S,S,Southerly,15,9,2650225,Edinburgh
2023-01-01T09:12:00+00:00,2023-01-01T16:00:53.271Z,Light rain and a moderate breeze,44,28,2023-01-04,,,,,8,47,4,39,10,51,3,37,,,,,3.0,LOW,L,Low,67,Chance of precipitation,08:43,15:53,,,,,0,LOW,L,Low,12,Light Rain,A moderate breeze from the west,W,W,Westerly,25,16,2650225,Edinburgh
2023-01-01T09:12:00+00:00,2023-01-01T16:00:53.271Z,Heavy rain and a gentle breeze,34,21,2023-01-05,,,,,7,44,3,37,9,49,0,32,,,,,2.0,LOW,L,Low,91,Precipitation is expected,08:42,15:54,,,,,0,LOW,L,Low,15,Heavy Rain,A gentle breeze from the south west,SW,SW,South Westerly,19,12,2650225,Edinburgh
2023-01-01T09:12:00+00:00,2023-01-01T16:00:53.271Z,Light cloud and a gentle breeze,28,18,2023-01-06,,,,,5,42,3,37,8,46,1,33,,,,,,,,,26,Low chance of precipitation,08:42,15:56,,,,,0,LOW,L,Low,7,Light Cloud,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2650225,Edinburgh
2023-01-01T09:12:00+00:00,2023-01-01T16:00:53.271Z,Hail showers and a moderate breeze,46,29,2023-01-07,,,,,6,43,3,37,8,46,1,34,,,,,,,,,76,High chance of precipitation,08:41,15:57,,,,,0,LOW,L,Low,20,Hail Showers,A moderate breeze from the south west,SW,SW,South Westerly,26,16,2650225,Edinburgh
2023-01-01T09:12:00+00:00,2023-01-01T16:00:53.271Z,Light rain showers and a moderate breeze,42,26,2023-01-08,,,,,5,42,3,37,7,44,1,33,,,,,,,,,37,Chance of precipitation,08:41,15:59,,,,,0,LOW,L,Low,10,Light Rain Showers,A moderate breeze from the south west,SW,SW,South Westerly,24,15,2650225,Edinburgh
2023-01-01T16:00:53+00:00,2023-01-01T16:00:53.271Z,Light rain and a moderate breeze,44,28,2023-01-09,,,,,6,43,3,37,8,47,0,33,,,,,,,,,48,Chance of precipitation,08:40,16:00,,,,,0,LOW,L,Low,12,Light Rain,A moderate breeze from the south west,SW,SW,South Westerly,25,15,2650225,Edinburgh
2023-01-01T16:00:53+00:00,2023-01-01T16:00:53.271Z,Light rain showers and a moderate breeze,42,26,2023-01-10,,,,,6,42,2,36,8,46,0,31,,,,,,,,,35,Chance of precipitation,08:39,16:02,,,,,0,LOW,L,Low,10,Light Rain Showers,A moderate breeze from the south west,SW,SW,South Westerly,24,15,2650225,Edinburgh
2023-01-01T16:00:53+00:00,2023-01-01T16:00:53.271Z,Light rain showers and a moderate breeze,39,24,2023-01-11,,,,,5,42,1,35,8,46,-2,29,,,,,,,,,33,Chance of precipitation,08:38,16:04,,,,,0,LOW,L,Low,10,Light Rain Showers,A moderate breeze from the west,W,W,Westerly,22,13,2650225,Edinburgh
2023-01-01T16:00:53+00:00,2023-01-01T16:00:53.271Z,Light rain showers and a gentle breeze,33,21,2023-01-12,,,,,5,41,2,35,8,46,-2,29,,,,,,,,,35,Chance of precipitation,08:37,16:06,,,,,0,LOW,L,Low,10,Light Rain Showers,A gentle breeze from the west,W,W,Westerly,19,12,2650225,Edinburgh
2023-01-01T16:00:53+00:00,2023-01-01T16:00:53.271Z,Light rain showers and a gentle breeze,32,20,2023-01-13,,,,,5,41,2,35,8,47,-2,29,,,,,,,,,34,Chance of precipitation,08:36,16:07,,,,,0,LOW,L,Low,10,Light Rain Showers,A gentle breeze from the south west,SW,SW,South Westerly,18,11,2650225,Edinburgh
2023-01-01T16:00:53+00:00,2023-01-01T16:00:53.271Z,Light rain and a moderate breeze,36,22,2023-01-14,,,,,5,42,2,36,9,47,-2,29,,,,,,,,,45,Chance of precipitation,08:35,16:09,,,,,0,LOW,L,Low,12,Light Rain,A moderate breeze from the south west,SW,SW,South Westerly,20,13,2650225,Edinburgh
