issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2024-12-20T09:46:00+00:00,2024-12-20T16:00:20.218Z,Sunny intervals and a moderate breeze,44,27,2024-12-20,,,,,8,46,5,42,9,47,5,40,,,,,2.0,LOW,L,Low,17,Low chance of precipitation,08:42,15:40,,,,,0,LOW,L,Low,3,Sunny Intervals,A moderate breeze from the west,W,W,Westerly,21,13,2650225,Edinburgh
2024-12-20T09:46:00+00:00,2024-12-20T16:00:20.218Z,Strong winds and rain,84,52,2024-12-21,,,,,9,48,2,36,10,50,1,34,,,,,3.0,LOW,L,Low,77,High chance of precipitation,08:42,15:40,,,,,1,LOW,L,Low,12,Light Rain,Strong winds from the west,W,W,Westerly,40,25,2650225,Edinburgh
2024-12-20T09:46:00+00:00,2024-12-20T16:00:20.218Z,Gusty winds and sunny intervals,77,48,2024-12-22,,,,,6,43,2,36,8,46,0,33,,,,,3.0,LOW,L,Low,36,Chance of precipitation,08:43,15:41,,,,,1,LOW,L,Low,3,Sunny Intervals,Gusty winds from the west,W,W,Westerly,36,22,2650225,Edinburgh
2024-12-20T09:46:00+00:00,2024-12-20T16:00:20.218Z,Light rain and a gentle breeze,31,19,2024-12-23,,,,,6,42,5,41,7,45,3,38,,,,,2.0,LOW,L,Low,46,Chance of precipitation,08:43,15:41,,,,,1,LOW,L,Low,12,Light Rain,A gentle breeze from the west,W,W,Westerly,17,10,2650225,Edinburgh
2024-12-20T09:46:00+00:00,2024-12-20T16:00:20.218Z,Light cloud and a moderate breeze,57,35,2024-12-24,,,,,13,55,10,50,14,57,9,48,,,,,2.0,LOW,L,Low,24,Low chance of precipitation,08:44,15:42,,,,,1,LOW,L,Low,7,Light Cloud,A moderate breeze from the south west,SW,SW,South Westerly,27,17,2650225,Edinburgh
2024-12-20T09:46:00+00:00,2024-12-20T16:00:20.218Z,Sunny intervals and a moderate breeze,57,35,2024-12-25,,,,,12,53,9,48,13,55,8,46,,,,,,,,,0,Precipitation is not expected,08:44,15:43,,,,,1,LOW,L,Low,3,Sunny Intervals,A moderate breeze from the south west,SW,SW,South Westerly,26,16,2650225,Edinburgh
2024-12-20T09:46:00+00:00,2024-12-20T16:00:20.218Z,Sunny intervals and a gentle breeze,32,20,2024-12-26,,,,,11,53,6,43,13,56,4,39,,,,,,,,,24,Low chance of precipitation,08:44,15:44,,,,,1,LOW,L,Low,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,20,12,2650225,Edinburgh
2024-12-20T09:46:00+00:00,2024-12-20T16:00:20.218Z,Drizzle and light winds,27,17,2024-12-27,,,,,9,49,5,40,12,53,3,37,,,,,,,,,33,Chance of precipitation,08:44,15:45,,,,,1,LOW,L,Low,11,Drizzle,Light winds from the south west,SW,SW,South Westerly,12,7,2650225,Edinburgh
2024-12-20T16:00:20+00:00,2024-12-20T16:00:20.218Z,Drizzle and a gentle breeze,24,15,2024-12-28,,,,,7,45,2,36,10,49,0,32,,,,,,,,,43,Chance of precipitation,08:44,15:45,,,,,1,LOW,L,Low,11,Drizzle,A gentle breeze from the south west,SW,SW,South Westerly,15,9,2650225,Edinburgh
2024-12-20T16:00:20+00:00,2024-12-20T16:00:20.218Z,Sunny intervals and a gentle breeze,15,9,2024-12-29,,,,,6,43,3,38,9,48,1,33,,,,,,,,,17,Low chance of precipitation,08:44,15:47,,,,,1,LOW,L,Low,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,13,8,2650225,Edinburgh
2024-12-20T16:00:20+00:00,2024-12-20T16:00:20.218Z,Drizzle and a gentle breeze,45,28,2024-12-30,,,,,7,44,3,38,9,49,0,33,,,,,,,,,48,Chance of precipitation,08:44,15:48,,,,,1,LOW,L,Low,11,Drizzle,A gentle breeze from the south west,SW,SW,South Westerly,20,12,2650225,Edinburgh
2024-12-20T16:00:20+00:00,2024-12-20T16:00:20.218Z,Light rain and a moderate breeze,52,33,2024-12-31,,,,,7,44,3,38,10,50,0,31,,,,,,,,,50,Chance of precipitation,08:44,15:49,,,,,1,LOW,L,Low,12,Light Rain,A moderate breeze from the south west,SW,SW,South Westerly,24,15,2650225,Edinburgh
2024-12-20T16:00:20+00:00,2024-12-20T16:00:20.218Z,Light rain and a moderate breeze,52,33,2025-01-01,,,,,6,43,2,36,10,50,-1,29,,,,,,,,,37,Chance of precipitation,08:44,15:49,,,,,1,LOW,L,Low,12,Light Rain,A moderate breeze from the south west,SW,SW,South Westerly,21,13,2650225,Edinburgh
2024-12-20T16:00:20+00:00,2024-12-20T16:00:20.218Z,Light rain and a moderate breeze,57,36,2025-01-02,,,,,8,46,5,42,12,54,1,34,,,,,,,,,68,Chance of precipitation,08:44,15:50,,,,,1,LOW,L,Low,12,Light Rain,A moderate breeze from the south west,SW,SW,South Westerly,22,14,2650225,Edinburgh
