issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2023-02-06T09:04:00+00:00,2023-02-06T16:04:34.863Z,Sunny and light winds,8,5,2023-02-06,,,,,8,46,0,32,9,48,-2,28,,,,,2.0,LOW,L,Low,0,Precipitation is not expected,07:44,17:11,,,,,2,LOW,L,Low,1,Sunny,Light winds from the south east,SE,SE,South Easterly,5,3,2653822,Cardiff
2023-02-06T09:04:00+00:00,2023-02-06T16:04:34.863Z,Misty and light winds,9,6,2023-02-07,,,,,6,42,0,32,8,46,-2,29,,,,,2.0,LOW,L,Low,10,Low chance of precipitation,07:42,17:13,,,,,2,LOW,L,Low,5,Mist,Light winds from the east,E,E,Easterly,5,3,2653822,Cardiff
2023-02-06T09:04:00+00:00,2023-02-06T16:04:34.863Z,Misty and a gentle breeze,27,17,2023-02-08,,,,,7,44,5,40,8,47,3,37,,,,,2.0,LOW,L,Low,0,Precipitation is not expected,07:40,17:15,,,,,2,LOW,L,Low,5,Mist,A gentle breeze from the south,S,S,Southerly,12,8,2653822,Cardiff
2023-02-06T09:04:00+00:00,2023-02-06T16:04:34.863Z,Sunny and a gentle breeze,25,16,2023-02-09,,,,,9,47,1,35,9,48,0,32,,,,,2.0,LOW,L,Low,14,Low chance of precipitation,07:38,17:16,,,,,3,MODERATE,M,Moderate,1,Sunny,A gentle breeze from the north west,NW,NW,North Westerly,13,8,2653822,Cardiff
2023-02-06T09:04:00+00:00,2023-02-06T16:04:34.863Z,Sunny intervals and a gentle breeze,30,18,2023-02-10,,,,,9,48,6,43,11,52,5,40,,,,,3.0,LOW,L,Low,0,Precipitation is not expected,07:37,17:18,,,,,2,LOW,L,Low,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2653822,Cardiff
2023-02-06T09:04:00+00:00,2023-02-06T16:04:34.863Z,Sunny intervals and light winds,12,8,2023-02-11,,,,,9,48,3,38,10,50,1,35,,,,,,,,,10,Low chance of precipitation,07:35,17:20,,,,,1,LOW,L,Low,3,Sunny Intervals,Light winds from the south west,SW,SW,South Westerly,9,6,2653822,Cardiff
2023-02-06T09:04:00+00:00,2023-02-06T16:04:34.863Z,Sunny intervals and a gentle breeze,19,12,2023-02-12,,,,,9,49,4,39,10,50,1,34,,,,,,,,,0,Precipitation is not expected,07:33,17:22,,,,,2,LOW,L,Low,3,Sunny Intervals,A gentle breeze from the south east,SE,SE,South Easterly,12,8,2653822,Cardiff
2023-02-06T09:04:00+00:00,2023-02-06T16:04:34.863Z,Light rain showers and a gentle breeze,19,12,2023-02-13,,,,,10,50,8,46,12,54,5,41,,,,,,,,,44,Chance of precipitation,07:31,17:24,,,,,1,LOW,L,Low,10,Light Rain Showers,A gentle breeze from the south,S,S,Southerly,18,11,2653822,Cardiff
2023-02-06T16:04:34+00:00,2023-02-06T16:04:34.863Z,Light rain and a moderate breeze,24,15,2023-02-14,,,,,10,51,7,44,13,55,3,38,,,,,,,,,28,Low chance of precipitation,07:29,17:26,,,,,1,LOW,L,Low,12,Light Rain,A moderate breeze from the south west,SW,SW,South Westerly,23,15,2653822,Cardiff
2023-02-06T16:04:34+00:00,2023-02-06T16:04:34.863Z,Light rain and a gentle breeze,25,16,2023-02-15,,,,,10,49,5,42,12,54,4,39,,,,,,,,,48,Chance of precipitation,07:27,17:27,,,,,1,LOW,L,Low,12,Light Rain,A gentle breeze from the south west,SW,SW,South Westerly,19,12,2653822,Cardiff
